Symbol,Name,Exchange
ISRG,Intuitive Surgical Inc.,NASDAQ
ANSS,ANSYS Inc.,NASDAQ
CDNS,Cadence Design Systems Inc.,NASDAQ
SNPS,Synopsys Inc.,NASDAQ
MANH,Manhattan Associates Inc.,NASDAQ
FTNT,Fortinet Inc.,NASDAQ
OKTA,Okta Inc.,NASDAQ
ZS,Zscaler Inc.,NASDAQ
CYBR,CyberArk Software Ltd.,NASDAQ
TENB,Tenable Holdings Inc.,NASDAQ
RPD,Rapid7 Inc.,NASDAQ
VNET,21Vianet Group Inc.,NASDAQ
DOCN,DigitalOcean Holdings Inc.,NYSE
CLOU,Global X Cloud Computing ETF,NASDAQ
WCLD,WisdomTree Cloud Computing Fund,NASDAQ
HUBS,HubSpot Inc.,NYSE
BILL,BILL Holdings Inc.,NYSE
FRSH,Freshworks Inc.,NASDAQ
GTLB,GitLab Inc.,NASDAQ
TASK,TaskUs Inc.,NASDAQ
AMPL,Amplitude Inc.,NASDAQ
BRZE,Braze Inc.,NASDAQ
PCVX,Vaxcyte Inc.,NASDAQ
SMAR,Smartsheet Inc.,NYSE
ASAN,Asana Inc.,NYSE
BOX,Box Inc.,NYSE
DOCUSIGN,DocuSign Inc.,NASDAQ
DOCU,DocuSign Inc.,NASDAQ
ESTC,Elastic N.V.,NYSE
APPF,AppFolio Inc.,NASDAQ
VEEV,Veeva Systems Inc.,NYSE
PAYC,Paycom Software Inc.,NYSE
WK,Workiva Inc.,NYSE
PCTY,Paylocity Holding Corporation,NASDAQ
JAMF,Jamf Holding Corp.,NASDAQ
SPRK,Switchback Energy Acquisition Corp.,NYSE
DT,Dynatrace Inc.,NYSE
AIOT,ProShares Internet of Things ETF,NYSE
IOT,Samsara Inc.,NYSE
KVYO,Klaviyo Inc.,NYSE
SOUN,SoundHound AI Inc.,NASDAQ
BBAI,BigBear.ai Holdings Inc.,NYSE
GFAI,Guardforce AI Co. Ltd.,NASDAQ
RCAT,Red Cat Holdings Inc.,NASDAQ
ACHR,Archer Aviation Inc.,NYSE
JOBY,Joby Aviation Inc.,NYSE
LILM,Lilium N.V.,NASDAQ
EVTL,Vertical Aerospace Ltd.,NYSE
RNAZ,TransCode Therapeutics Inc.,NASDAQ
LAZR,Luminar Technologies Inc.,NASDAQ
MOBILEYE,Mobileye Global Inc.,NASDAQ
MBLY,Mobileye Global Inc.,NASDAQ
INVZ,Innoviz Technologies Ltd.,NASDAQ
LIDR,AEye Inc.,NASDAQ
OUST,Ouster Inc.,NYSE
VLDR,Velodyne Lidar Inc.,NASDAQ
CDXS,Codexis Inc.,NASDAQ
TSEM,Tower Semiconductor Ltd.,NASDAQ
CEVA,CEVA Inc.,NASDAQ
SMTC,Semtech Corporation,NASDAQ
DIOD,Diodes Incorporated,NASDAQ
IXYS,IXYS Corporation,NASDAQ
POWER,Power Solutions International Inc.,NASDAQ
